"","SRR7624365","SRR7624366","SRR7624371","SRR7624372","SRR7624375","SRR7624376"
"ENSMUSG00000067780",0,0,0,1,6,2
"ENSMUSG00000100053",5,0,3,2,8,0
"ENSMUSG00000085125",8,13,1,5,40,20
"ENSMUSG00000025776",363,302,70,55,235,160
"ENSMUSG00000099895",1,0,2,0,4,4
"ENSMUSG00000100554",1,0,2,5,1,0
"ENSMUSG00000099591",4,6,2,4,0,6
"ENSMUSG00000109887",1,0,16,2,4,3
"ENSMUSG00000102001",0,0,0,1,0,0
"ENSMUSG00000070977",0,0,0,0,1,2
"ENSMUSG00000101685",0,0,4,0,6,0
"ENSMUSG00000099433",1,0,0,0,0,0
"ENSMUSG00000089787",0,3,0,2,0,2
"ENSMUSG00000042596",0,0,0,0,2,1
"ENSMUSG00000100720",20,12,30,18,14,8
"ENSMUSG00000025927",2,2,0,0,9,10
"ENSMUSG00000100204",8,6,7,10,23,12
"ENSMUSG00000043760",493,589,594,514,495,419
"ENSMUSG00000104095",2,2,4,0,4,0
"ENSMUSG00000089914",5,1,0,1,1,6
"ENSMUSG00000090142",6,7,8,1,7,8
"ENSMUSG00000070175",0,0,0,1,0,0
"ENSMUSG00000025929",0,2,0,0,0,0
"ENSMUSG00000041872",35,68,29,19,12,2
"ENSMUSG00000041859",56741,56992,53780,49661,50005,37241
"ENSMUSG00000099714",3,2,0,0,4,3
"ENSMUSG00000097934",9,3,4,3,0,0
"ENSMUSG00000025931",3973,2469,620,653,100,100
"ENSMUSG00000077314",1,1,0,1,0,0
"ENSMUSG00000100929",4,6,0,0,0,0
"ENSMUSG00000041809",956,739,323,261,82,55
"ENSMUSG00000041779",2164,1508,675,748,194,438
"ENSMUSG00000099971",3,0,0,2,0,0
"ENSMUSG00000100819",12,6,8,0,4,2
"ENSMUSG00000025933",462,260,315,202,96,92
"ENSMUSG00000102633",6,32,26,16,34,41
"ENSMUSG00000025934",1294,1476,1934,2363,461,337
"ENSMUSG00000099343",34,53,56,53,8,10
"ENSMUSG00000096375",0,0,4,0,0,0
"ENSMUSG00000025936",0,2,0,2,0,1
"ENSMUSG00000067750",4,0,0,0,4,2
"ENSMUSG00000086194",1,0,0,0,0,0
"ENSMUSG00000041722",4,0,0,4,0,0
"ENSMUSG00000028033",14,18,6,10,16,6
"ENSMUSG00000082935",675,418,457,472,614,453
"ENSMUSG00000099692",0,0,0,2,0,0
"ENSMUSG00000100418",0,0,0,0,1,0
"ENSMUSG00000041670",202,565,547,571,119,153
"ENSMUSG00000101468",1,0,0,0,0,0
"ENSMUSG00000101227",0,0,2,0,0,0
"ENSMUSG00000073730",0,4,0,0,4,0
"ENSMUSG00000102766",1,4,4,2,0,0
"ENSMUSG00000065405",0,3,2,2,4,4
"ENSMUSG00000097970",23,67,52,56,48,21
"ENSMUSG00000100775",1,0,0,0,0,0
"ENSMUSG00000101226",0,0,0,4,0,0
"ENSMUSG00000026158",1122,709,848,1041,1042,1049
