"","SRR7624365","SRR7624366","SRR7624371","SRR7624372","SRR7624375","SRR7624376"
"ENSMUSG00000028229",371.833333333333,320.833333333333,267.166666666667,263.166666666667,148.166666666667,163.333333333333
"ENSMUSG00000078772",69.6666666666667,101.5,72.5,74.5,66.75,90.5
"ENSMUSG00000041058",5274.5,6534.16666666667,4329.66666666667,4660.58333333333,5103.66666666667,5424.16666666667
"ENSMUSG00000073988",1225.16666666667,779.5,1011.83333333333,1226.33333333333,2703.33333333333,2256.66666666667
"ENSMUSG00000073987",1214.08333333333,710.5,901.25,998.833333333333,697.833333333333,504.416666666667
"ENSMUSG00000028252",3315.66666666667,2789,3373.16666666667,4089.66666666667,2927,2865.16666666667
"ENSMUSG00000028251",1284.83333333333,1071.33333333333,560.666666666667,601.666666666667,323.166666666667,332
"ENSMUSG00000040455",5313.66666666667,5659.08333333333,4097,4407.66666666667,3155.66666666667,3500.91666666667
"ENSMUSG00000028248",6634.83333333333,13939,9087.5,9339.25,9266.16666666667,9138.83333333333
"ENSMUSG00000028247",1329.91666666667,1311.83333333333,1993.83333333333,1902.83333333333,2017.5,1749.5
"ENSMUSG00000028246",134.833333333333,104.333333333333,74.5,65.6666666666667,141.5,148.166666666667
"ENSMUSG00000040410",1019.33333333333,1180.16666666667,955.416666666667,1015.83333333333,771.416666666667,769.5
"ENSMUSG00000103000",53.8333333333333,116,69.8333333333333,73.5,50.5,81.5
"ENSMUSG00000095139",62.1666666666667,60.5,101.666666666667,65.6666666666667,63.1666666666667,60.5
"ENSMUSG00000045751",7435.33333333333,9269.08333333333,9047.66666666667,9746.66666666667,11647,11150.3333333333
"ENSMUSG00000040387",253.333333333333,431.5,241.666666666667,225.5,93.6666666666667,106.333333333333
"ENSMUSG00000028261",2567.5,2102.5,2341.83333333333,2578.16666666667,2840.5,2567.5
"ENSMUSG00000040372",122.166666666667,139,77.6666666666667,74.5,76.8333333333333,76.1666666666667
"ENSMUSG00000040359",3780.25,4254.5,3561.16666666667,3810.33333333333,2408.83333333333,2136.83333333333
"ENSMUSG00000055373",3708.83333333333,4144.66666666667,1548.66666666667,1776.58333333333,1022.83333333333,1131.33333333333
"ENSMUSG00000040520",2514,2370.5,1360.91666666667,1517.83333333333,1208.91666666667,1196.33333333333
"ENSMUSG00000028289",691.5,1023.08333333333,641.75,610.333333333333,353.166666666667,340.666666666667
"ENSMUSG00000028284",9444.16666666667,10118.5,10399.8333333333,10092.1666666667,7905,7362.5
"ENSMUSG00000082398",45.6666666666667,51.1666666666667,61,59.3333333333333,109.333333333333,71.8333333333333
"ENSMUSG00000040270",754.5,672.583333333333,228.333333333333,174.333333333333,95.5,122.833333333333
"ENSMUSG00000028282",9393.08333333333,13170.1666666667,12059.6666666667,12963.3333333333,12877,12410.5
"ENSMUSG00000058006",29919.8333333333,76974.6666666667,57742.6666666667,82565.8333333333,82565.8333333333,110641.833333333
"ENSMUSG00000045854",545.5,525.166666666667,842.333333333333,865.333333333333,833.5,703.333333333333
"ENSMUSG00000040183",1193.83333333333,1074.41666666667,3450.83333333333,3898.83333333333,4493,4061.83333333333
"ENSMUSG00000094344",8515.33333333333,4412.66666666667,5149.75,4085.5,4137.08333333333,5655.83333333333
"ENSMUSG00000028278",11327.6666666667,9704.83333333333,4562.16666666667,5065.33333333333,19149.1666666667,16071.5
"ENSMUSG00000028277",1071.33333333333,994.333333333333,1014.66666666667,910.666666666667,1123.41666666667,1027.83333333333
"ENSMUSG00000028280",116.833333333333,74.3333333333333,62.3333333333333,76.6666666666667,249,187.333333333333
"ENSMUSG00000054659",389,307.166666666667,259.833333333333,318.5,1203.58333333333,1108
"ENSMUSG00000054679",217.333333333333,177.166666666667,165.666666666667,132.5,163,107.333333333333
"ENSMUSG00000040128",6543.83333333333,4118.5,2934.41666666667,2900.33333333333,3079,2945.33333333333
"ENSMUSG00000086127",127.833333333333,75.6666666666667,72.5,129.666666666667,103.833333333333,118
"ENSMUSG00000028274",3391.16666666667,3959.16666666667,4429,4769,5004.33333333333,4637.5
"ENSMUSG00000044288",83,74.8333333333333,63.6666666666667,53.8333333333333,184.333333333333,162
"ENSMUSG00000062554",301.666666666667,210.833333333333,248.166666666667,249.916666666667,251,201.666666666667
"ENSMUSG00000095588",144.5,87.6666666666667,113.5,128.833333333333,125.166666666667,121.5
"ENSMUSG00000028291",5796.25,3802.16666666667,4068,3791,4904.16666666667,4688.5
"ENSMUSG00000040044",6013.66666666667,8314.83333333333,6650.83333333333,7452.16666666667,6728.5,6846.33333333333
"ENSMUSG00000028292",3316.66666666667,3379.5,3709.83333333333,4029.5,4616.75,3879.5
