"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"ENSG00000010803",880.5,898.333333333333,923.916666666667,1097,1030.83333333333,1113.5
"ENSG00000287400",79.8333333333333,95.3333333333333,77.1666666666667,68.1666666666667,68.5,70.6666666666667
"ENSG00000235358",96.1666666666667,114.166666666667,94.5,79.1666666666667,86.5,75.6666666666667
"ENSG00000127124",111.166666666667,136.333333333333,133.833333333333,188.833333333333,109,137.5
"ENSG00000198815",1512.83333333333,1322.83333333333,1320.5,1626.16666666667,1473,1463.66666666667
"ENSG00000177181",78.3333333333333,75.3333333333333,82.6666666666667,82.8333333333333,81.5,91.6666666666667
"ENSG00000066185",107.666666666667,95.3333333333333,95.8333333333333,114.166666666667,113.166666666667,95.1666666666667
"ENSG00000127125",648.333333333333,688.5,635.5,660.25,810,658.666666666667
"ENSG00000186409",235.333333333333,229.333333333333,185,275.333333333333,185.833333333333,163.666666666667
"ENSG00000171960",196.5,199.5,218.5,226.166666666667,256.083333333333,291.666666666667
"ENSG00000285728",105.666666666667,110.5,120.666666666667,123.5,122.5,122.833333333333
"ENSG00000065978",7577.66666666667,7587.5,8404.83333333333,7329,8680.16666666667,11321.8333333333
"ENSG00000117385",4330.66666666667,4793.16666666667,5075,2486.16666666667,2419.66666666667,2768.58333333333
"ENSG00000164008",187.5,164.083333333333,160.666666666667,174.166666666667,152.833333333333,145
"ENSG00000274386",79.8333333333333,73.8333333333333,79.8333333333333,80.6666666666667,82.3333333333333,78.3333333333333
"ENSG00000177868",183.5,184.083333333333,199.5,172,211.666666666667,165.5
"ENSG00000164010",700.333333333333,644.333333333333,656,599.583333333333,856.666666666667,503.083333333333
"ENSG00000228192",103.333333333333,100.5,117.666666666667,105.666666666667,107.333333333333,110.333333333333
"ENSG00000164011",270.166666666667,257.833333333333,261.166666666667,185,234.666666666667,204.166666666667
"ENSG00000117394",5031.66666666667,5033.16666666667,5030.16666666667,1912,1748,1079.66666666667
"ENSG00000284138",79.8333333333333,73.8333333333333,72.8333333333333,77.5,70.8333333333333,72.8333333333333
"ENSG00000227533",119,116,124.833333333333,90.1666666666667,109,94.3333333333333
"ENSG00000117395",756.833333333333,734,837.166666666667,620.416666666667,710.333333333333,1036.08333333333
