"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"hsa-miR-151a-3p ",10792.6666666667,12718.3333333333,10792.6666666667,12718.3333333333,13055.8333333333,14291
"hsa-miR-151a-5p ",729,780.333333333333,729,1167.33333333333,1051.5,899.666666666667
"hsa-miR-151b ",112.75,133.5,105.333333333333,215.666666666667,92.8333333333333,118.833333333333
"hsa-miR-152-3p ",22428.5,27474.8333333333,21221.3333333333,83763.6666666667,19465.8333333333,21221.3333333333
"hsa-miR-152-5p ",214.666666666667,239.666666666667,219.083333333333,643.833333333333,210.333333333333,329.166666666667
"hsa-miR-153-3p ",89.8333333333333,91.1666666666667,90,90.3333333333333,100.333333333333,90.3333333333333
"hsa-miR-154-3p ",282.166666666667,233.5,398.5,99.3333333333333,253.166666666667,142.583333333333
"hsa-miR-154-5p ",578.166666666667,590.666666666667,539.666666666667,441.666666666667,552.166666666667,313.833333333333
"hsa-miR-155-5p ",3793.16666666667,3209.33333333333,4567.66666666667,742.166666666667,4439.16666666667,2489.5
"hsa-miR-15a-5p ",304.5,359.5,325.583333333333,229.5,509.833333333333,343.666666666667
"hsa-miR-15b-3p ",227.5,221.5,284.25,107.75,304.5,211
"hsa-miR-15b-5p ",909.166666666667,836.5,1139,390.666666666667,1268.83333333333,684.166666666667
"hsa-miR-16-1-3p ",107.583333333333,122.166666666667,106.416666666667,173.166666666667,113,121.333333333333
"hsa-miR-16-2-3p ",142,124.833333333333,159.166666666667,97.5833333333333,150.75,144.75
"hsa-miR-16-5p ",5794.33333333333,4439.16666666667,7378.16666666667,1566.83333333333,10792.6666666667,4331.16666666667
"hsa-miR-17-3p ",117.583333333333,113.666666666667,106.416666666667,290.333333333333,111.5,146.916666666667
"hsa-miR-17-5p ",3209.33333333333,3112.66666666667,2574.83333333333,2190,2768.83333333333,4510.16666666667
"hsa-miR-181a-2-3p ",434.166666666667,441.666666666667,465.333333333333,578.166666666667,414.166666666667,515.833333333333
